establishment_name,address,district,inspection_date,establishment_grade
HOMETOWN (26086),3908 S 76TH ST,11,4/9/2019,A
HOMETOWN (9273),200 N 35TH ST,8,7/9/2019,A
HOMEWOOD SUITES HOTEL,500 N WATER ST,4,10/10/2019,A
HONEY DIP,5306 S 27TH ST,13,9/6/2019,A
HONEY DIP DONUTS,5306 S 27TH ST,13,1/30/2020,A
HONEYPIE CAFE,2643 S KINNICKINNIC AV,14,8/19/2019,A
HONG KONG EXPRESS,2373 N MARTIN L KING JR DR,6,12/18/2019,P
HONG KONG EXPRESS,7420 W GOOD HOPE RD,9,8/18/2020,A
HOOK FISH & CHICKEN,2604 W CAPITOL DR,,6/25/2020,A
HOOLIGAN'S,2017 E NORTH AV,3,9/10/2019,A
HOPKINS FOOD MART,4601 N HOPKINS ST,,6/7/2019,A
HOPKINS LIQUOR & FOOD MART,1646 W HOPKINS ST,6,6/10/2020,A
HOSED ON BRADY,1689 N FRANKLIN PL,3,10/14/2019,A
HOT FLASH PANTRY,701 E WISCONSIN AV,4,9/17/2018,A
HOT-DIG-A-DEE DOG #0064,3521 W NORTH AV,15,10/1/2018,MT
HOT-DIG-A-DEE DOG #0852,3521 W NORTH AV,15,5/23/2019,MA
HOTEL BANQUETS (THIRD FLOOR),1611 W CANAL ST,8,9/26/2018,A
HOTEL LOBBY COFFEE BAR,1611 W CANAL ST,8,7/16/2020,A
HOTEL LOBBY RESTAURANT- POTAWATOMI,1611 W CANAL ST,8,7/16/2020,A
HOTEL MADRID,600 S 6TH ST,12,12/18/2019,A
HOWARD CLARK,5030 W HOWARD AV,11,5/16/2019,A
HOWARD MOBIL,1930 W HOWARD AV,13,9/5/2019,A
HOWELL GAS & FOOD,3725 S HOWELL AV,13,1/23/2020,P
HUAN XI,2428 N MURRAY AV,3,6/14/2019,B
HUAN XI,2428 N MURRAY AV,3,6/14/2019,Temporarily Closed
HUE RESTAURANT,2691 S KINNICKINNIC AV,14,4/25/2019,A
HUMBODLT QUICK MART,3929 N HUMBOLDT BL,6,6/27/2018,A
HUNGRY SUMO,2663 S KINNICKINNIC AV,14,11/22/2019,A
HUP'S PIZZA,5400 W HAMPTON AV,,11/1/2019,A
HWY 45 HAMPTON BP,11728 W HAMPTON AV,5,12/11/2018,A
HWY 45 MOBIL,5501 N LOVERS LANE RD,5,12/11/2018,A
HYATT  PLACE- MILWAUKEE-DOWNTOWN,800 W JUNEAU AV,4,3/27/2019,A
HYATT PLACE MILWAUKEE WEST,11777 W SILVER SPRING DR,5,5/30/2019,A
HYATT PLACE-MILWAUKEE AIRPORT,200 W GRANGE AV,13,8/3/2020,A
HYATT REGENCY MILWAUKEE,333 W KILBOURN AV,4,8/28/2019,A
I SHOP SUPERMARKET,2643 W ATKINSON AV,1,8/28/2020,B
IAN'S PIZZA,146 E JUNEAU AV,,1/14/2020,A
IAN'S PIZZA MILWAUKEE,2035 E NORTH AV,3,3/12/2020,A
IAN'S PIZZA STORY HILL,5300 W BLUE MOUND RD,,6/9/2020,A
ICE HOUSE BAR & GRILL,4238 W ORCHARD ST,,6/9/2020,A
ICEE MIX IT UP- MILWAUKEE COUNTY ZOO,10001 W BLUE MOUND RD,10,6/20/2019,A
IHOP,1010 W LAYTON AV,13,10/17/2019,A
IHOP #5422,8101 W BROWN DEER RD,9,3/26/2019,A
IN & OUT PANTRY LLC,701 W WISCONSIN AV,,10/14/2019,A
IN LAW,2305 S HOWELL AV,14,3/6/2018,A
IN N OUT FOOD,1832 S 7TH ST,12,3/4/2020,A
IN THE NICK OF TIME,9002 W SILVER SPRING DR,2,3/17/2020,Pending
INDIAN BAZZAR,5254 S 27TH ST,13,8/5/2019,A
INDIAN COUNCIL OF THE ELDERLY INC,3330 W WELLS ST,4,6/22/2020,A
INDULGE,708 N MILWAUKEE ST,4,10/22/2019,A
INDULGE WINE ROOM,158 N BROADWAY,,10/9/2019,P
INDULGE WINE ROOM,158 N BROADWAY,,10/9/2019,A
INSOMNIA COOKIES,1804 E NORTH AV,3,6/17/2020,A
INSOMNIA COOKIES (2217),2217 S KINNICKINNIC AV,14,1/28/2020,A
INSPECTOR LOST PLACARD,841 N BROADWAY,,8/31/2020,P
INSPECTOR VOIDED,841 N BROADWAY,,8/27/2020,MA
INSPECTOR VOIDED,841 N BROADWAY,,8/27/2020,MT
INTERVAL,1600 N JACKSON ST,,8/15/2019,A
INTERWELD INC,5839 N 94TH ST,2,3/5/2018,A
IRENE'S CATERING SERVICE,1841 W LINCOLN AV,12,12/17/2019,A
IRIE PALACE,8762 N GRANVILLE RD,9,12/30/2019,A
IRON GRATE BBQ CO,4125 S HOWELL AV,13,5/10/2019,A
ISLA TROPICAL #0619,1000 W LINCOLN AV,12,7/24/2019,MA
ISLA TROPICAL #0622,1000 W LINCOLN AV,12,8/31/2018,MA
ISLA TROPICAL #0669,1000 W LINCOLN AV,12,7/24/2019,MA
ISLA TROPICAL #0919,1000 W LINCOLN AV,12,7/24/2019,MA
ISLA TROPICAL #0921,1000 W LINCOLN AV,12,7/24/2019,MA
ISLA TROPICAL ID #0621,1000 W LINCOLN AV,12,7/24/2019,MA
ISLA TROPICAL ID #0670,1000 W LINCOLN AV,12,7/24/2019,MA
ISLA TROPICAL ID# 0601,1000 W LINCOLN AV,12,7/24/2019,MA
ISLAND STAR ENTERPRISES,5309 W CENTER ST,10,9/3/2019,A
"IT'Z MY PARTY CAKERY, INC",5300 W BLUE MOUND RD,10,1/31/2018,A
IVEN'S FOOD MART,2838 W ATKINSON AV,1,5/24/2019,A
IZZY HOPS,2311 N MURRAY AV,3,11/4/2019,A
J & J FISH & CHICKEN,3213 W VILLARD AV,,8/10/2020,A
J & J FISH AND CHICKEN (19193),405 W CENTER ST,6,6/3/2019,A
J & M PETROLEUM,8334 W APPLETON AV,5,4/17/2018,A
J & S AFRICAN CENTER,6029 N TEUTONIA AV,1,8/12/2020,A
J&B'S BLUE RIBBON BAR & GRILL,5230 W BLUE MOUND RD,10,7/1/2020,A
J&J FISH & CHICKEN (19377),6610 N 76TH ST,9,2/7/2020,A
JACK'S AMERICAN PUB,1323 E BRADY ST,3,2/18/2020,A
JACK'S LIQUOR,5009 W HAMPTON AV,,6/19/2020,A
JACK'S LIQUOR,5009 W HAMPTON AV,,6/19/2020,P
JACKIE'S CAFE,3902 N 76TH ST,10,12/21/2018,A
JACKSON CENTER DAYS INNS & SUITES,1840 N 6TH ST,6,2/20/2020,A
JACKSON GRILL,3736 W MITCHELL ST,8,11/21/2019,A
JACKSON'S BLUE RIBBON PUB AT THE BREWHOUSE INN & SUITES,1203 N 10TH ST,4,1/13/2020,A
JAD FOOD,5855 W SILVER SPRING DR,9,1/3/2020,A
JAKE'S DELI,1634 E NORTH AV,3,10/10/2019,T
JALAPENO LOCO,5067 S HOWELL AV,13,6/25/2019,A
JALISCO RESTAURANT,2207 E NORTH AV,3,4/17/2018,A
JALISCO RESTAURANT,1035 S CESAR E CHAVEZ DR,12,6/24/2020,A
JALISCO'S SUPER MARKET,2000 W LINCOLN AV,8,5/16/2019,A
JAMAICAN JERK CENTER,6015 N TEUTONIA AV,1,5/10/2019,A
JAMBA JUICE,544 E OGDEN AV,4,10/24/2019,A
JANET GROCERY STORE,5326 S 27TH ST,13,5/11/2018,B
JAVA CORNER,731 N JACKSON ST,4,1/21/2020,A
JAVA CORNER,731 N JACKSON ST,4,1/19/2018,A
JAY'S PETROMART,9922 W CAPITOL DR,5,7/15/2020,A
JAY'S UPTOWN CAFE,5007 W CENTER ST,15,7/10/2019,A
JAYS FOOD LLC,4402 W CENTER ST,7,7/20/2020,A
JB'S ON 41,4040 S 27TH ST,13,10/15/2019,A
JC KING  TORTAS,3128 S 13TH ST,14,7/13/2020,A
JC KING TORTAS #0803,3128 S 13TH ST,14,8/28/2019,MA
JC KING TORTAS ID #0156,3128 S 13TH ST,14,9/10/2019,MT
JC KING TORTAS ID #0156,3128 S 13TH ST,14,9/10/2019,MA
JC KING TORTAS ID #0526,3128 S 13TH ST,14,9/27/2018,MA
JC KING TORTAS ID #0544,3128 S 13TH ST,14,9/27/2018,MA
JERSEY MIKE'S,544 E OGDEN AV,4,5/20/2019,A
JERSYS PUB & GRILL,4024 S HOWELL AV,13,6/3/2019,A
JERUSALEM FOODS AND TOBACCO,5300 W BURLEIGH ST,10,8/3/2020,A
JET'S PIZZA,1857 E KENILWORTH PL,3,10/3/2018,A
JETZ #4525,607 S 70TH ST,,7/1/2020,A
JETZ CONVENIENCE CENTER,607 S 70TH ST,10,1/11/2019,A
JETZ CONVENIENCE CENTER,607 S 70TH ST,10,5/21/2019,A
JEWELS CARIBBEAN RESTUARANT,2230 N MARTIN L KING JR DR,6,8/23/2019,A
JEWISH HOME AND CARE CENTER,1414 N PROSPECT AV,4,7/2/2019,A
JIMBO'S LODGE CATERING,5555 W GOOD HOPE RD,9,7/26/2019,A
JIMMY JOHN'S,3632 S 27TH ST,13,8/1/2019,A
JIMMY JOHN'S,3129 N OAKLAND AV,3,1/26/2018,A
JIMMY JOHN'S,3129 N OAKLAND AV,3,1/9/2020,A
JIMMY JOHN'S (16668),1532 W WELLS ST,4,6/19/2020,A
JIMMY JOHNS,260 W HOLT AV,14,1/21/2020,A
JIMMY JOHNS  (27735),1425 N JEFFERSON ST,3,1/21/2020,A
JIMMY JOHNS (1312),1312 S 1ST ST,12,6/19/2019,A
JIMMY JOHNS (15143),1344 E BRADY ST,3,1/27/2020,A
JIMMY JOHNS (15947),767 N WATER ST,4,6/22/2020,A
JIMMY'S GRILL,3915 N 35TH ST,7,6/7/2019,A
JING'S,207 E BUFFALO ST,4,10/30/2019,A
JIZZLES SANDWICH SHOP,4618 W BURLEIGH ST,7,5/17/2019,P
"JIZZLES, LLC",2613 W STATE ST,4,6/29/2020,A
JJ FISH & CHICKEN (27092),1955 W CAPITOL DR,,5/20/2019,A
JJ FISH & CHICKEN (27093),6212 W CAPITOL DR,,7/1/2020,A
JJ FISH & CHICKEN (27901),1334 N 35TH ST,8,3/2/2020,A
JJ FISH & CHICKEN (27901),1334 N 35TH ST,8,3/2/2020,A
JJ FISH & CHICKEN (6605),6005 W APPLETON AV,10,6/24/2020,A
JJ FISH AND CHICKEN (27110),9008 W BROWN DEER RD,9,5/15/2019,A
JJ LIQUOR,4173 N GREEN BAY AV,1,1/29/2020,A
JJ'S BREAD & BUTTER UNIQUE ID #0259,628 N WATER ST,,9/11/2019,MA
JO JO'S FRIED CHICKEN,1900 S 31ST ST,8,10/10/2019,A
JO'S CAFE,3519 W SILVER SPRING DR,1,10/16/2019,A
JOHANNA'S CAKES & DESSERTS,1239 S 11TH ST,,6/30/2020,A
JOHNNY ROCKETS - CONCOURSE D,5300 S HOWELL AV,13,8/30/2019,A
JONES SMOKE SHOP,4534 W NORTH AV,15,1/25/2019,A
JORDAN FOOD AND TOBACCO,4704 W BURLEIGH ST,7,2/17/2020,Temporarily Closed
JORDAN STORE,5611 W LISBON AV,10,2/13/2020,A
JOULE CAFE,7300 W GREEN TREE RD,,12/19/2019,A
JOURNEYMAN HOTEL (THE OUTSIDER),310 E CHICAGO ST,4,10/23/2018,A
JOURNEYMAN HOTEL (THE OUTSIDER),310 E CHICAGO ST,4,11/21/2019,A
JOURNEYMAN HOTEL (TRE RIVALI),310 E CHICAGO ST,4,11/20/2019,A
JP FOODS,2309 N 49TH ST,15,1/10/2020,A
JR DELGADO'S CATERING ID # 136,3411 W MT VERNON AV,4,2/18/2019,MA
JS LIQUOR,7900 W SILVER SPRING DR,,1/14/2020,A
JUBA FOOD MARKET,1745 N MARTIN L KING JR DR,6,1/15/2020,P
JUDY'S RED HOTS,4806 W LISBON AV,15,7/13/2020,A
JUNIOR'S,3079 N 25TH ST,7,5/15/2019,A
JUNIOR'S,3079 N 25TH ST,7,5/15/2019,Pending
JUST ART'S SALOON,181 S 2ND ST,8,6/25/2020,A
JUST ONE MORE,3209 W LINCOLN AV,8,3/6/2019,A
KABABJEES (SWEET FIX),807 W HISTORIC MITCHELL ST,12,3/3/2020,A
KAINTH BEER & LIQUOR,1141 W HOWARD AV,13,10/31/2019,A
KAL SERVICE DBA CAPTIOL BP,7311 W CAPITOL DR,10,11/18/2019,A
KAM'S CORNER TAP,8340 W LISBON AV,5,9/25/2019,A
KAM'S THISTLE AND SHAMROCK,3430 N 84TH ST,5,11/20/2019,A
KANPAI,408 E CHICAGO ST,4,12/3/2019,A
KANPAI 2,2150 N PROSPECT AV,3,11/7/2018,A
KARINA'S PIZZA,2952 S 13TH ST,14,8/13/2020,A
KARMA BAR & GRILL,1425 N JEFFERSON ST,3,6/14/2019,A
KASANA,6095 S JASPER AV,13,3/20/2019,A
KAWA,2321 N MURRAY AV,3,9/8/2020,A
KD POWER MART,6325 N 76TH ST,2,2/24/2020,A
KEEFE & 3RD SUPERMARKET,301 E KEEFE AV,6,9/17/2019,P
KEEFE & 3RD SUPERMARKET,301 E KEEFE AV,6,9/17/2019,A
KEEFE AVE MOBIL,3510 N 7TH ST,6,6/24/2020,A
KEHR'S CANDIES,400 N WATER ST,4,2/19/2020,A
KELLY'S BLEACHERS,5218 W BLUE MOUND RD,10,6/16/2020,A
KENTUCKY FRIED CHICKEN,4400 N 60TH ST,2,9/6/2019,A
KENTUCKY FRIED CHICKEN,7242 N TEUTONIA AVE,1,7/14/2020,Temporarily Closed
KENTUCKY FRIED CHICKEN,5444 N LOVERS LANE RD,5,10/29/2019,A
KENTUCKY FRIED CHICKEN #033 (14617),110 W LAYTON AV,13,2/28/2020,A
KENTUCKY FRIED CHICKEN #078,2470 N MARTIN L KING JR DR,6,8/4/2020,A
KENTUCKY FRIED CHICKEN (14612),7343 W APPLETON AV,10,9/27/2019,A
KENTUCKY FRIED CHICKEN (14616),1570 W MITCHELL ST,12,11/26/2019,A
KENTUCKY FRIED CHICKEN (3440),3440 W FOND DU LAC AV,7,6/23/2020,A
KETTA'S KITCHEN,5908 N 76TH ST,,1/30/2020,T
KETTLE RANGE MEAT COMPANY,5501 W STATE ST,10,6/17/2020,A
KHAHRA PETROLEUM,5904 W HAMPTON AV,7,6/7/2019,A
KICKAPOO,232 E ERIE ST,,1/30/2020,A
KIKKA,2305 N PROSPECT AV,3,2/20/2019,A
KILBOURN SUPERMARKET,901 N 27TH ST,4,6/14/2019,A
KIM'S THAI RESTAURANT,938 W LAYTON AV,13,9/23/2019,A
KINDRED,2535 S KINNICKINNIC AV,14,11/6/2018,A
KING FOOD MARKET,938 W NORTH AV,15,10/7/2019,P
KING FOOD MARKET,938 W NORTH AV,15,10/7/2019,A
KING'S AMOCO GAS AND MART,5110 W HAMPTON AV,1,5/8/2019,A
KING'S CAPITOL CONVENIENCE,2002 W CAPITOL DR,1,1/29/2020,A
KING'S GREENTREE AMOCO GAS N MART,6829 N 76TH ST,9,2/21/2018,A
KING'S HAMPTON CONVENIENCE,3800 W HAMPTON AV,1,6/6/2019,A
KINGDOM COOKING,4102 W TOWNSEND ST,,9/9/2019,A
KINNICK MART,3087 S KINNICKINNIC AV,14,6/10/2019,A
KISS ULTRA LOUNGE,7330 N 76TH ST,9,1/30/2020,B
KITT'S FROZEN CUSTARD,7000 W CAPITOL DR,2,2/19/2020,A
KK PETROLEUM,2023 S KINNICKINNIC AV,14,5/23/2019,A
KLINGER'S EST,920 E LOCUST ST,3,5/16/2019,A
KOCHANSKI'S CONCERTINA BEER HALL,1920 S 37TH ST,8,12/4/2019,A
KOI JAPANESE CUISINE,552 W LAYTON AV,13,11/15/2019,A
KOMPALI,1205 E BRADY ST,3,12/3/2019,A
KOPPA'S FULBELI DELI,1940 N FARWELL AV,3,1/17/2020,A
KOSHER MEAT KLUB,4731 W BURLEIGH ST,7,2/22/2019,A
KRAZY KITCHEN,5266 S 27TH ST,0,12/10/2019,A
KWIK PANTRY,2022 W LAYTON AV,13,4/26/2018,A
KWIK PANTRY  (2022),2022 W LAYTON AV,13,4/22/2019,A
KWIK PANTRY (22477),9104 W BROWN DEER RD,9,5/2/2019,A
KWIK PANTRY (27053),7919 N 60TH ST,,5/14/2019,A
KWIK STOP,2434 W NATIONAL AV,8,7/23/2019,A
KWIK STOP,605 W LAPHAM BL,12,2/3/2020,A
KWIK STOP,4751 N SANTA MONICA BL,6,7/31/2019,A
L R FOODS,3432 W VILLARD AV,1,1/13/2020,T
LA ARRACHERA,1988 S MUSKEGO AV,8,1/28/2020,A
LA BORINCANA RESTAURANT,1820 S 13TH ST,12,9/19/2019,A
LA CALETA RESTAURANT & BAR,1801 S MUSKEGO AV,8,11/29/2018,B
LA CALETA RESTAURANT & BAR,1801 S MUSKEGO AV,8,10/29/2019,B
LA CARIBENA RESTAURANT,1704 S PEARL ST,8,8/8/2019,A
LA CARRETA VIEJA,1339 W GREENFIELD AV,12,9/11/2019,A
LA CASA DE ALBERTO,624 W NATIONAL AV,12,10/3/2019,A
LA CENA #ID 0911,1117 W LINCOLN AV,12,7/12/2019,MA
LA CHINAMPA MEXICAN FOOD #0902,613 S 4TH ST,12,5/4/2019,MA
LA COSTENITA MEXICAN FOOD TRUCK #ID 0272,600 S 6TH ST,,7/28/2020,MT
LA DELICATESSE,275 W WISCONSIN AV,4,2/26/2018,A
LA FLAMITA (ID #0794),604 W HISTORIC MITCHELL ST,12,6/22/2020,MA
LA FLOR DE TRIGO BAKERY,1321 W LINCOLN AV,12,12/1/2019,A
LA FONDITA,2523 W GREENFIELD AV,8,2/25/2020,A
LA FORTALEZA GROCERY,1610 S 7TH ST,12,10/14/2019,A
LA FRANJA GROCERIES,2366 S 9TH PL,12,3/12/2019,A
LA FUENTE RESTAURANT,9155 W BLUE MOUND RD,10,2/27/2020,A
LA GUADALUPANA,1520 W LINCOLN AV,12,11/25/2019,A
LA GUADALUPANA/CAFE EL SOL,1028 S 9TH ST,12,12/12/2019,A
LA HACIENDA,820 S CESAR E CHAVEZ DR,12,2/20/2020,B
LA LUNA LIQUOR,552 W MAPLE ST,12,5/15/2019,A
LA MASA,1300 E BRADY ST,3,11/14/2019,A
LA MERENDA,125 E NATIONAL AV,12,10/2/2019,A
LA MICHOACANA #0631,1117 W LINCOLN AV,12,10/1/2019,MA
LA MICHOACANA (ID #0166),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA (ID #0167),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA (ID #0193),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA (ID #0194),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA (ID #0195),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA (ID #0499),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA (ID #0501),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA (ID #0502),717 S 2ND ST,12,8/8/2019,MA
LA MICHOACANA PLUS,3142 S 13TH ST,14,9/10/2019,A
LA MICHOACANA PLUS LLC (27231),1224 S CESAR E CHAVEZ DR,12,9/18/2019,A
LA NUEVA PLAYA CAFE,1330 S CESAR E CHAVEZ DR,12,10/9/2018,A
LA SALSITA RESTAURANT INC,1105 W LINCOLN AV,12,4/9/2019,A
LA TAPATIA MINI MART,3100 W MITCHELL ST,8,6/19/2019,A
LA TROPICANA FOOD,1011 S 5TH ST,12,10/23/2019,A
LAKE EXPRESS,2330 S LINCOLN MEMORIAL DR,14,7/3/2019,A
LAKEFRONT BREWERY,1872 N COMMERCE ST,6,8/27/2019,A
LAKEVIEW CART-MILWAUKEE COUNTY ZOO,10001 W BLUE MOUND RD,10,6/20/2019,A
LANDMARK 1850 INN,5905 S HOWELL AV,13,9/11/2019,A
LANDMARK FAMILY RESTUARANT,3451 S KINNICKINNIC AV,14,6/17/2019,Temporarily Closed
LANDMARK LANES,2200 N FARWELL AV,3,6/21/2019,A
LARENO'S HOT DOG ID #0833,1330 S CESAR E CHAVEZ DR,12,7/6/2020,MA
LAS 7 ESTRELLAS,112 E DAKOTA ST,14,12/10/2019,A
LAS 7 ESTRELLAS #0594,565 W LINCOLN AV,14,8/6/2019,MT
LAS 7 ESTRELLAS #0594,565 W LINCOLN AV,14,8/6/2019,MA
LAS 7 ESTRELLAS ID #0594,112 E DAKOTA ST,14,7/15/2019,MA
LAUGHING TACO,1031 S 1ST ST,12,6/6/2019,A
LAVISH LOUNGE,721 S CESAR E CHAVEZ DR,12,9/4/2018,A
LAYTON BEER & LIQUOR,2008 W LAYTON AV,13,1/10/2020,A
LAYTON FOOD MARKET,1344 S LAYTON BL,8,2/4/2020,T
LAYTON FOOD MARKET,1344 S LAYTON BL,8,2/4/2020,A
LAYTON HEIGHTS PUB & GRILL,4553 S 13TH ST,13,12/3/2019,A
LAZO'S TACO SHACK,641 N JAMES LOVELL ST,,7/6/2020,A
LAZY SUSAN MKE,2376 S HOWELL AV,14,7/11/2019,A
LC-1 BEER PEN DOOR #3817,201 S 46TH ST,,7/25/2018,A
LEE RESTAURANT,6300 N 76TH ST,2,11/25/2019,A
LEE'S LUXURY LOUNGE,2988 S KINNICKINNIC AV,14,12/10/2019,A
LEINIE LODGE-CONCOURSE D,5300 S HOWELL AV,13,6/3/2019,Temporarily Closed
LEMONADE CART- MILWAUKEE COUNTY ZOO,10001 W BLUE MOUND RD,10,6/20/2019,A
LENA'S FOOD MARKET,4061 N 54TH ST,,7/30/2018,A
LEON'S FROZEN CUSTARD,3131 S 27TH ST,11,9/11/2019,A
LEVEL (LVL),801 S 2ND ST,12,12/10/2019,A
LEVY @ MECCA SPORTS BAR & GRILL,1134 N VEL R PHILLIPS AV,,11/21/2019,A
LEVY AT THE BUCKS ARENA-  300 MAIN SOUTH PIZZA,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA-  500 UPPER MARKET SOUTH FRESH FIN POKE,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA-  MAIN TACO,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA-  MEZZ PIZZA,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA-  UPPER NORTH CHICKEN SAUSAGE,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MAIN BURGER,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MAIN CHICKEN AND SAUSAGE,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MAIN EAST BBQ,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MAIN NORTH PIZZA,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MAIN NORTH PIZZA,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MAIN SOUTH BURGER,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MEZZ EAST CEDAR CREST,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MEZZ N/W -TACOS & MARGARITA,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MEZZ S/E DONUTS,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 300 MEZZ S/W PRETZEL,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER MARKET S/E CEDAR CREST,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER MARKET S/E GYRO,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER MARKET SOUTH GRILLED CHEESE,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER MARKET SOUTH MAC/CHEESE,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER N/E CALDERONE CLUB,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER N/E HOT NUTS,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER N/E SUB SANDWICH,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER N/W TACO,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- 500 UPPER NORTH PIZZA AND BAR,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- BMO CLUB AND CLUB KITCHEN 01.12.01,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- CHICK-FIL-A,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- COMMISSARY KTICHEN,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- EVENT LEVEL SUITE KITCHEN,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- LOFT KTICHEN AND BAR,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- MEZZ LEVEL KITCHEN & BAR,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- MEZZ LEVEL- MAIN KITCHEN,1111 N VEL R PHILLIPS AV,4,4/17/2019,A
LEVY AT THE BUCKS ARENA- MEZZ TACO,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- PANO CONCESSION,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- SOUTH HOT DOG,1111 N VEL R PHILLIPS AV,,4/10/2019,A
LEVY AT THE BUCKS ARENA- UPPER MARKET SOUTH KLEMENT,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY AT THE BUCKS ARENA- UPPER NORTH BURGER 500,1111 N VEL R PHILLIPS AV,4,4/10/2019,A
LEVY RESTAURANT AT THE BRADLEY CENTER-SOFT SERVE 200 (NE),1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT HARLEY DAVIDSON,401 W CANAL ST,12,10/7/2019,A
LEVY RESTAURANTS AT THE BRADLEY CENTER,1001 N 4TH ST,4,3/20/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 2009,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 2009,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 2110,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 2309,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 4009,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 4102,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 4201,1001 S 4TH ST,12,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC STAND 4302,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- BC SUITE KITCHEN,1001 S 4TH ST,12,3/20/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- CARVERY,1001 N 4TH ST,4,3/21/2018,A
LEVY RESTAURANTS AT THE BRADLEY CENTER- COURTSIDE CLUB,1001 N 4TH ST,4,3/20/2018,A
